node_id,原材料,供应商,国家,省州,纬度,经度,采购权重,数据性质,来源
S001,甘蔗,圣保罗甘蔗供应商,BRA,圣保罗,-23.55,-46.63,0.06657382481528609,真实披露,MVP 演示样本数据
S002,甜菜,新疆甜菜供应商,CHN,新疆,43.82,87.62,0.2926112885807687,真实披露,MVP 演示样本数据
S003,大豆,爱荷华大豆供应商,USA,爱荷华,41.88,-93.1,0.14883568616905404,真实披露,MVP 演示样本数据
S004,玉米,布宜诺斯艾利斯玉米供应商,ARG,布宜诺斯艾利斯,-34.6,-58.38,0.0479242080381459,模拟,MVP 演示样本数据
S005,番茄,山东番茄供应商,CHN,山东,36.67,117.0,0.08519236202720126,工作假设,MVP 演示样本数据
S006,原奶,奥克兰原奶供应商,NZL,奥克兰,-36.85,174.76,0.10791205469731517,工作假设,MVP 演示样本数据
S007,棕榈,沙巴棕榈供应商,MYS,沙巴,5.98,116.07,0.0006660213612303459,工作假设,MVP 演示样本数据
S008,茶叶,云南茶叶供应商,CHN,云南,25.04,102.71,0.08824296918950618,工作假设,MVP 演示样本数据
S009,大豆,马托格罗索大豆供应商,BRA,马托格罗索,-15.6,-56.1,0.10880777082437473,真实披露,MVP 演示样本数据
S010,甘蔗,广西甘蔗供应商,CHN,广西,23.1,108.37,0.053233814297117696,真实披露,MVP 演示样本数据
